RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
Demora na portabilidade,"Descrição do problema: Consumidor (a) reclama que solicitou a portabilidade desde o dia 02-03-2021, mas, até o momento não foi realizado e foi passado um prazo até o dia 31-03-2021, no entanto, o prazo pelo regulamento seria em até 3 dias úteis._x000D_
O que o consumidor solicita como providências: Solicita a conclusão da portabilidade. _x000D_
Serviço reclamado: Pós Pago_x000D_
Telefone reclamado: 21 985503350_x000D_
",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que,solicitação de portabilidade da VIVO para CLARO de plano pós-pago de maneira online, ocorreu imprevisto e ao tentar cancelar o serviço não conseguiu._x000D_
O que o(a) consumidor(a) solicita como providências:Cancelamento imediato._x000D_
Serviço Reclamado:Pós-pago._x000D_
Telefone associado ao problema(quando for linha telefônica):19997132908_x000D_
Protocolo da prestadora reclamada:2021210760575",,,,,,,
,"Descrição do problema: Consumidor reclama que solicitou a portabilidade para operadora Tim mas está tendo a portabilidade negada pela operadora Claro._x000D_
O que o consumidor solicita como providências: Liberação da linha para portabilidade._x000D_
Serviço Reclamado: Fixo._x000D_
Telefone associado ao problema: 3134260367_x000D_
Protocolo da prestadora reclamada: 013211081999375",,,,,,,
,"Descrição do problema: Por insistência da atendente por telefone, consumidor(a) aceitou um combo multi, com portabilidade de 1 linha móvel Pós-Paga, porém 1 horas depois, solicitou o cancelamento do pedido de portabilidade, deixando ativo o combo multi, mas a prestadora está se recusando, e nada resolve._x000D_
O que o(a) consumidor(a) solicita como providências: Que a prestadora faça o cancelamento do pedido de portabilidade, e deixe ativo os outros serviços do combo multi contratados._x000D_
Telefone associado ao problema: 81988389312_x000D_
Protocolo da prestadora reclamada: 202100035815776",,,,,,,
Demora na portabilidade,"A 1 mês foi oferecido a portabilidade para operadora Claro, pois eu tinha contratado claro residencial, aceitei realizar a portabilidade eles informarão o novo chip chegaria na minha residência no no dia seguinte, o mesmo demorou 4 dias corridos para chegar em minha residência. Assim que o chip chegou eu não conseguia realizar o cadastro dele na operadora, tive que esperar a boa vontade deles de realizar o mesmo. Demorou cerca de 1 semana, logo a pós esse período no dia 25 /02  a funcionária Suelen  entrou em contato comigo via whatsapp realizando o cadastro do meu chip, feito e chip funcionando ela me deu o prazo de 3 dias para minha portabilidade ser realizada. E desde então isso não foi feito tento contato com a mesma via Whatsapp e ninguém me atende, tento realizar chamadas para claro do número que está cadastrado no chip e a chamada não é finalizada sempre cai. _x000D_
Hoje consegui contato com eles ligando através de um outro telefone, quando eu acho que o problema será resolvido, a atendente Kelly me pedindo milhares de informações nada foi resolvido a mesma joga o problema para Nextel que agora também é da claro, informando que eu preciso entrar em contato com eles e quando eu ligo eu não consigo falar com ninguém pois não sou mais cliente. _x000D_
Esse problema vem se alastrando a cerca de um mês e ninguém consegue me ajudar. _x000D_
Meu número está perdido a um mês, preciso dele urgente pois está vinculado a milhares de contas minhas entre outros problemas, ele é meu número e ninguém consegue me ajudar, sempre ficam jogando de uma operadora para outra. _x000D_
PROTOCOLO da ligação do dia 08/03: 003214801696786._x000D_
",,,,,,,
Demora na portabilidade,"Consumidor(a) reclama que foi solicitado a portabilidade onde ficou acordado o valor de R$199,00, mas o numero foi perdido e a portabilidade não foi concluída, solicita providencias e que a linha seja recuperada._x000D_
_x000D_
_x000D_
_x000D_
Protocolo da prestadora reclamada: não possui_x000D_
O que o consumidor solicita como providências: solução da demanda_x000D_
Telefone associado ao problema(quando for linha telefônica):(85)3227-0596_x000D_
serviço reclamado: telefone fixo_x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que até o momento a portabilidade da sua linha telefônica solicitada em 01/2021 não foi concluída, foram lhe fornecidos prazos que não foram cumpridos e até o momento não lhe deram solução, sua linha está inoperante, mas permanece com a linha telefônica provisória da operadora._x000D_
O que o consumidor solicita como providências: A conclusão da portabilidade._x000D_
Serviço reclamado: Pós-pago._x000D_
Telefone associado ao problema (quando for linha telefônica): 11 997646861",,,,,,,
Demora na portabilidade,"363212921143170 bom dia este é meu último protocolo de sábado dia 6 de março 2021. O problema  é que já  estou há  mais de um mês tentando  resolver o problema até  agora nada.  Qdo achei que tudo estaria resolvido, eis que fazem a portabilidade dos dois telefones e o meu 48 984393353 foi habilitado, porém  não  consigo usar porque pede para colocar  credito,  sendo que o combinado  não  era esse, como já  mencionei nas reclamações  anteriores  e VÁRIAS ligações  com a Claro e o do meu.esposo 48 999210351 está  sem.sinal, ou seja está  sem telefone, fizeram a portabilidade  e não  habilitaram...não  quero perder esses números e se não  puderem cumprir o qie prometem, então  não  p façam e gostaria deste problema o mais rápido  possível,  não  podemos fixar sem telefone e NÃO  QUEREMOS perder nossos números.  Estou cansada de falar,  e repetir sempre a.mesma.coisa...

Até
Silvana",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor (a) Jaime  reclama que após contratação de  combo com serviços residências e móvel  o mesmo, ressalta que o serviço móvel não foi ativado após solicitação de portabilidade._x000D_
_x000D_
O que o consumidor solicita como providências: ativação do serviço com conclusão da portabilidade de forma definitiva. _x000D_
_x000D_
Serviço Reclamado: pós pago _x000D_
Telefone associado ao problema:  (41) 999071250_x000D_
",,,,,,,
,"Descrição do problema: Consumidor reclama que a prestadora autorizou portabilidade de uma das suas linhas compartilhadas, sem sua autorização e sem aviso prévio, lhe causando transtornos._x000D_
O que o consumidor solicita como providências:Retorno da linha para plano._x000D_
Serviço Reclamado: Celular Pós-Pago_x000D_
Telefone associado ao problema(quando for linha telefônica): 21964359368_x000D_
",,,,,,,
,"Prezados, boa tarde!_x000D_
A operadora realizou uma portabilidade sem que eu tivesse solicitado, agora esta me cobrando uma fatura de prestação de serviços, conforme documentação em anexo. _x000D_
Foi feita a contestação e nada foi resolvido._x000D_
Cobrança indevida, pedido de indenização, portabilidade não solicitada, ressarcimento. _x000D_
Solicito providencias quanto a portabilidade indevida e cobrança indevida. _x000D_
Atenciosamente, _x000D_
Roberto.  ",,,,,,,
,entrei em ctto com a claro para solicitar a portabilidade do meu telefone da fixo e a atendente disse que eu não podia fazer... ,,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor reclama que solicitou a portabilidade para prestadora, mas não foi realizado no prazo concedido. Relata que o problema persiste sem solução após contato com a operadora._x000D_
O que o consumidor solicita como providências: Realização da portabilidade._x000D_
Serviço Reclamado: Fixo._x000D_
Telefone associado ao problema: 2122663005_x000D_
Protocolo da prestadora reclamada: 03821944467924260",,,,,,,
Demora na portabilidade,"Estou há quase 2 meses buscando a portabilidade da minha linha 11 985398634 na operadora TIM com o objetivo de substituir a linha 11 989120547 habilitada no meu plano Claro Flex e até o momento não obtive sucesso. O último protocolo obtido na central de atendimento do Claro Flex foi o 202180552184, e depois disso já falei até com Supervisor em outro atendimento sem protocolo fornecido. Na Ouvidoria foram diversos contatos também, sendo o último protocolo da Ouvidoria 07356010 e último atendimento via WhatsApp em 03/03, mas ninguém resolve meu problema.",,,,,,,
Demora na portabilidade,Estou com o chip da operadora atual (OI) a mais de duas semanas inativos. Até o momento a operadora de destino (claro) não realizou o processo de portabilidade. Ao entrar em contato informaram que o problema está na OI. Porém o chip da OI está totalmente inativo (ligação e internet).,,,,,,,
Demora na portabilidade,"Recebi uma ligação me oferecendo portabilidade há cerca de 2 meses do meu número da Tim para Claro por 29,90 com ligação ilimitada e ficaram de enviar o chip que chegou um mês após e quando fui ativar fui informada que foi cancelada por que a Tim não permitiu a portabilidade, entrei em contato com a Tim e novamente com a claro que ficou de me retornar dentro de 48 horas, mas não obtive retorno e estou com medo de perder meu número ",,,,,,,
,"Em 15/02 último, contratei um pacote de serviços junto à CLARO que, conforme consta nos e-mails que me foram encaminhados, consiste em 1. ( TV ) Mix HD + 2. ( internet ) 120 M + 3. ( fixo ) Ilimitado com portabilidade VIVO (13) 3422-4018 + 4. ( celular ) Controle 8GB+5GB de bônus com portabilidade NEXTEL (11) 99739-0483._x000D_
Ocorre que, embora os três primeiro itens tenham sido prontamente atendidos ( TV, Internet e Portabilidade Fixo ), continuo sem solução relativa à portabilidade do celular NEXTEL (11) 99739-0483. Embora sejam hoje uma mesma empresa, nos canais CLARO convencionais ( 4004.8844 e respectivo 0800... ) obtenho apenas a informação de que a migração foi negada pela NEXTEL ""por divergência de dados"", enquanto que a NEXTEL , através do telefone 1050, alega apenas que a migração não pôde ser efetuada ""por problemas técnicos"", que eles se negam a especificar quais sejam e quanto tempo demandam ainda para serem solucionados. Assim, decorrida já mais de duas semanas sem ver qualquer solução para esta pendência, solicito providências urgentes junto às mencionadas operadoras, no sentido de que seja efetuada sem mais tardar a portabilidade por mim requerida e relativa ao mencionado NEXTEL (11) 99739-0483. Obrigado.        ",,,,,,,
Demora na portabilidade,"Serviço Reclamado: Celular Pós-pago _x000D_
Telefone reclamado: 21 999763025 21 999763026_x000D_
Descrição do problema:_x000D_
Consumidor(a) reclama que solicitou a portabilidade das suas linhas, onde o prazo expirou e até o momento a portabilidade não foi realizada. Desde 01/03 o problema acontece. _x000D_
Como providência, solicita que as portabilidades sejam concluídas com urgência. _x000D_
",,,,,,,
,"No dia 14/01/2021 às 09h44 recebi uma ligação do número (081) 99447-3937 representando a operadora CLARO, que me ofereceu uma proposta de PORTABILIDADE do meu número TIM (081) 997138389 para a CLARO informando ser mais vantajoso. Respondi que não tinha interesse pois o plano que possuía já atendia minhas expectativas e que estava bastante satisfeita (o meu plano na TIM era o Tim Beta Lab). _x000D_
Entretanto, perguntei da possibilidade em fazer a portabilidade para meu outro número da TIM que é utilizado pelo meu filho, (081) 99520-6300 e o atendente informou que a proposta serviria já que, para esse n° ao qual eu estava falando com ele eu não tinha interesse na portabilidade. Informei o n° (081) 99520-6300 do qual gostaria que fosse realizada a portabilidade, confirmei com o atendente todos os dados e o mesmo me informou do valor e o que constava no plano contratado. Informou que o chip da Claro chegaria em minha residência em poucos dias o qual até a presente data não chegou, e que o pagamento seria debitado em conta conforme data de vencimento escolhida por mim, ficou tudo acordado entre eu e o atendente._x000D_
No dia 25.01.2021, percebi que fiquei sem área e sem conseguir realizar e receber ligações, liguei de outro telefone para a TIM, para saber a causa do problema e me surpreendi quando fui informada pela operadora TIM, que a CLARO solicitou a portabilidade do meu número ERRADO, ou seja, ela CANCELOU a minha conta pela qual não existia nenhum interesse de migrar para outra operadora._x000D_
Entrei em contato com a Claro por telefone e relatei o ocorrido e disseram que eu precisava ir até uma loja física. No dia 29.01.2021, fui até a loja Claro do Shopping Riomar, relatei o problema e a atendente de início informou que não resolveria na loja física, que eu teria que resolver ligando para central da Claro, e durante o atendimento fui informada que já existia um boleto em meu nome, com um número desconhecido, ou seja, nenhum dos meus dois números, nem o número que eu solicitei a portabilidade, nem o número que eu não tinha o interesse. Enfim, estou diante de um grande problema, pois minha vida profissional depende da minha linha telefônica a qual acabara de perder! A atendente da Claro chegou a me cobrar o valor de R$10 reais do chip, mesmo eu informando que o mesmo não chegou em minha residência, para o problema aumentar fui informada de que já existe um boleto em meu nome, com o número (081) 99499 7717, com o vencimento para o dia 15.02.2021, no valor de R$ 49,89 reais. Solicitei que a mesma chamasse a gerente ou alguém que pudesse fazer algo a mais por mim. A gerente me deu um novo chip com o mesmo número que eu tinha na TIM e nesse momento a gerente solicitou que a atendente abrisse um protocolo de estorno da portabilidade, relatando o ocorrido, nesse momento eu estava chorando e abalada por total descaso. A atendente informou que o pedido foi realizado no sistema e que a CLARO teria 5 dias úteis para me dar um retorno. No dia 03.02.2021, recebi uma ligação da CLARO do número (081) 991691682299, às 14:47h, informando que o estorno da portabilidade, quem teria que fazer era a TIM, liguei para a TIM no dia 04.02.2021, o atendente me informou que a TIM não faz estorno de portabilidade._x000D_
Ainda no dia 29.01.2021, imediatamente ao sair da loja Claro, fui até uma loja da TIM para saber, se havendo o estorno da portabilidade da Claro, se eu voltaria para a operadora TIM com as mesmas condições e benefícios que eu tinha e fui informada que perderia tudo!",,,,,,,
Demora na portabilidade,"Descrição do Problema: Consumidor(a) reclama que não consegue fazer portabilidade de sua linha da Oi para Claro. _x000D_
O que o consumidor solicita como providências: que seja concluída a portabilidade e saber o motivo que não foi feita ainda._x000D_
Serviço reclamado: Telefone Fixo_x000D_
Telefone associado ao problema: 21 38722607 ",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor informa que solicitou a portabilidade da  Vivo para claro e ate o momento não ocorreu. _x000D_
O que o consumidor solicita como providências: Portabilidade. _x000D_
Serviço Reclamado:  Fixo. _x000D_
Telefone associado ao problema(quando for linha telefônica):(81) 32714599_x000D_
",,,,,,,
Demora na portabilidade,"Consumidor(a) reclama que ainda não foi realizada a portabilidade da Oi para Claro, operadora alega divergência no seu  cpf._x000D_
Solicita como providências: conclusão da portabilidade._x000D_
Serviço Reclamado: telefone  móvel _x000D_
Telefone associado ao problema: (82) 988203111_x000D_
Protocolo da prestadora reclamada: operadora não informou._x000D_
",,,,,,,
Demora na portabilidade,"Na segunda-feira 01/03/2021 fomos em uma loja da Claro no Norte Shopping, o qual já começo errado que não tinha fila de preferencial que minha sogra é a titular da línea da Oi que Eu fui como titular da conta Diego Douglas de Almeida Cordero CPF 134.071.617-86 a solicitar um pedido de inclusão de linha como dependente do meu plano o Número da minha esposa que era da Oi conjunta com minha sogra 21 99908 7332, fizemos todos os tramites e assinamos os documentos necessários. Na hora de escolhemos a data para que seja realizada a portabilidade foi escolhido a sexta-feira 05/03/2021 na parte da manhã entre 08:00hs e 12:00hs já chegando na quarta-feira 03/03/2021 o chip da Oi da minha esposa não funcionou mais ai o departamento de retenções da Oi entrou em contato com o titular oferendo um plano mais barato o qual não foi aceitou, desde esse dia ela já colocou o chip da Claro no aparelho dela e começou a funcionar a internet e o número provisório da Claro, chegando ao dia agendado da portabilidade passando às 12:00 hs nada de mudar o numero automaticamente ai reiniciamos o aparelho tiramos e colocamos e nada de mudar o número provisório para o numero que era da Oi passar a ser da Claro, ai ao ligar para o número que era da Oi dá caixa postal diretamente, nessa mesma hora entrei em contato com o departamento de portabilidade da Claro para ver o que aconteceu e me informaram que ocorreu um erro que estava programado para mudar como linha controle e não como numero dependente do meu plano Combo e era só aguardar mais 24hs, na mesma sexta-feira 05/03/2021 me retorna um representante da Claro do número 031 3768 1900 às 17:28 validando as informações da portabilidade e confirmando com o titular da línea e que era só aguardar mais 24hs que a mudança ocorreria, ai chega no sábado 06/03/2021 às 12hs e novamente ligo para o numero antigo da Oi que já deveria ser Claro e nada de tocar somente caixa postal. Ai na segunda-feira  08/03/2021 entro em contato novamente com a Claro que me informam que não foi feita a portabilidade porque tentaram contato e não foi atendido o qual é mentira, então solicito um certa ajuda e urgência da ANATEL com essa portabilidade e um ressarcimento da Claro com todo esse transtorno de espera já que minha esposa precisa do número dela para o trabalho que ela recebe o Token para acessar a VPN do trabalho, Desde já Agradeço. Atenciosamente.",,,,,,,
Troca de titularidade,"boa tarde._x000D_
quero fazer a troca de titularidade da minha linha fixa, tira de cpf e coloca em cnpj.",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que não consegue cancelar a solicitação de portabilidade._x000D_
O que o consumidor solicita como providências: Solução do problema e cancelamento da portabilidade em caráter de urgência._x000D_
Serviço Reclamado: Móvel._x000D_
Telefone associado ao problema(quando for linha telefônica): 8188731236_x000D_
_x000D_
Protocolo da prestadora reclamada: Ciente da importância._x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema : Consumidor ( a) reclama que solicitou a portabilidade há um mês  é até o momento a portabilidade não foi efetuada. Recebeu um chip provisório já está com fatura para ser paga sem usar os serviços._x000D_
O que o consumidor solicita como providência: Solicita que seja feito a portabilidade urgente é o cancelamento da fatura pelos serviços que não utilizou._x000D_
Serviço reclamado:Pós-pago_x000D_
_x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor (a) reclama que fez portabilidade da Oi para Claro, foi informado que receberia chip provisório ativo, recebeu chip em 03/03 porém até o momento chip não foi ativado. _x000D_
O que o consumidor solicita como providências: conclusão de portabilidade_x000D_
Serviço reclamado: móvel pós-pago_x000D_
Telefone associado ao problema: (21) 987745943_x000D_
Ciente da importância de protocolo.",,,,,,,
Demora na portabilidade,"Descrição do problema:  Portabilidade não realizada   linha de  nº 21969014771  , pedido efetuado desde o dia  22/02/2021  _x000D_
ultimo agendamento está para o dia  11/03 /2021 não concorda e está sendo prejudicado._x000D_
Solicita como providência: Conclusão da portabilidade o mais rápido possível e que não seja cobrado durante o período que a linha ainda estava na outra operadora._x000D_
Serviço reclamado : Celular pós Pago_x000D_
Telefone reclamado(quando for linha telefônica):(21) 972343956  21969014771 ( total de 4 linhas )_x000D_
Protocolo da prestadora reclamada:  038214464128837",,,,,,,
Chip não entregue,"Solicitei a portabilidade de dois números da Oi para a Claro, um dos números foi feita a troca e o outro (11) 96991-7262 não recebi o chip e ligo para tentar solucionar e ninguém resolve minha questão._x000D_
_x000D_
Quando ligo no 1052 me solicitam para ligar no 0800 720 1234, e quando ligo no no 0800 me pedem para ligar no 1052._x000D_
_x000D_
Ninguém resolve ou me passa um prazo para solução do problema e vão me cobrar o período em ambas operadoras.",,,,,,,
,"Consumidor(a) reclama que a prestadora CLARO solicitou a portabilidade de seu número da VIVO sem a sua autorização._x000D_
O que o consumidor solicita como providências: o cancelamento desta portabilidade, que seu número volte para a sua prestadora VIVO_x000D_
Serviço Reclamado: PÓS PAGO_x000D_
Telefone associado ao problema: 11 975486736_x000D_
",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que teve portabilidade sem a sua solicitação e no nome de outra pessoa._x000D_
O que o consumidor solicita como providências: cancelamento de portabilidade feito de imediato ficando a linha em seu nome e na prestadora anterior que estava._x000D_
Serviço Reclamado: pós pago._x000D_
Telefone associado ao problema(quando for linha telefônica) 11977349316",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que solicitou a portabilidade da Oi para a Claro, porém até o momento não foi realizado._x000D_
O que o(a) consumidor(a) solicita como providências: A conclusão da portabilidade._x000D_
Serviço Reclamado: Telefone fixo_x000D_
Telefone associado ao problema(quando for linha telefônica): 6132044419_x000D_
Protocolo Relacionado (protocolo anatel):_x000D_
Protocolo da prestadora reclamada: 040214469672553_x000D_
",,,,,,,
Demora na portabilidade,"Adquiri em 22/01/2021 o Combo Net Fone e Internet. A internet foi instalada dia 25/01 e está funcionando corretamente. Solicitei a portabilidade do numero fixo (41) 3078-6883 da operadora Vivo. Entretanto, a Claro não fez a solicitação do processo de portabilidade, e quando entrei em contato fui informado que a Vivo havia negado a portabilidade e que linha estava cancelada. _x000D_
Em contato com a Vivo, fui informado que não houve solicitação da Claro, e que a linha (41) 3078-6883 continua ativa._x000D_
Solicito Efetivação da Portabilidade do fixo (41) 3078-6883._x000D_
Abri nova solicitação de portabilidade na Claro, sob protocolo 884212796687194 . _x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor (a) reclama que o problema citado no protocolo Anatel 202102220203510 ainda não foi resolvido,_x000D_
 pois a portabilidade de uma das linhas solicitadas não foi concluída. A Tim alega que o problema seria da Claro._x000D_
_x000D_
Solicita como providências: Conclusão da portabilidade o mais breve possível que não seja gerada cobranças._x000D_
_x000D_
Serviço Reclamado: Linha Móvel._x000D_
Telefone associado ao problema:  21970466500_x000D_
Protocolo da prestadora reclamada: Ciente da necessidade de protocolo_x000D_
Protocolo Relacionado (Anatel) : 202102220203510_x000D_
Empresa Doadora: Claro NXT  Receptora: Tim",,,,,,,
,"No mês de fevereiro tinha solicitado uma portabilidade da operadora Tim para operadora Claro, o chip foi entregue em minha residência, quando liguei para desbloquear o chip, a claro me informou que eu precisaria usar um numero da claro provisório 96914-7931 até que a portabilidade fosse concluída.  Este numero que me passaram não funcionou, liguei novamente para a claro e me informaram que estava com problemas para desbloquear o chip com o numero provisório e eu tinha que esperar uma semana para que ele funcionasse; como não aceitei tentaram passar um novo numero, mas eu preferi cancelar a portabilidade por que preciso da linha funcionando para trabalhar. protocolo de cancelamento numero 2021135296024. Mesmo cancelando um serviço que nunca usei, a claro enviou uma fatura para eu pagar no valor 49,89 reais. Na fatura a claro menciona um numero 99183-2585 que eu desconheço._x000D_
Solicito que a Anatel entre em contato com a claro e cancele este boleto que estou enviando copia em anexo._x000D_
_x000D_
grato_x000D_
Monica Ferreira Castro",,,,,,,
Demora na portabilidade,"A empresa claro me ligou a mais de um mês oferendo uma portabilidade, eu aceitei, porém a empresa por diversas vezes não entregou o chip que havia informado que entregariam._x000D_
Segue abaixo os passos até o momento que ocorreu:_x000D_
_x000D_
- Quando foi me oferecido a portabilidade (isso a mais de 20 dias atrás) me disseram que o prazo para a chegada do chip era de 3 a 5 dias;_x000D_
- Após o terceiro dia da oferta de portabilidade, a empresa me ligou praticamente todos os dias perguntando se havia recebido o chip, no qual nunca recebi e informei todas as vezes que não havia recebido, MESMO o sistema de vocês informando que o chip havia sido entregue;_x000D_
- Com muito stress ao receber um chip e solicitar a ativação, fui informado pela sua atendente que o chip estava queimado e que por isso iriam enviar outro;_x000D_
- Novamente não consegui receber esse NOVO chip e informei que não havia recebido esse chip;_x000D_
- Quando recebi um novo chip, entrei em contato para ativar o chip e me informaram que o chip não foi dado baixa no sistema (situação atual) e que iriam enviar um novo chip._x000D_
- Falei que não quero mais receber chip nenhum, pois além de não garantirem a entrega, quando chega, não garantem a ativação, disse que havia aberto uma reclamação junto a ouvidoria e iria aguardar a resposta;_x000D_
- A resposta dada pela ouvidoria não me esclarece em nada, além do que já conheço... um atendimento ruim e sem transparência com cliente._x000D_
- Amanhã 09/03 as 22h a Claro irá efetuar a portabilidade do meu chip, entrei em contato novamente com a central para verificar qual chip irão fazer a portabilidade (PROT 700212796652778) porém o atendente não consegui me garantir qual seria (tenho 2 chips em mãos, o que foi informado que estava queimado e outro que não está cadastrado no sistema)._x000D_
- Entrei em contato novamente com a ouvidoria (PROT 700212796738536) e a atendente apenas me informou que estava ciente do problema e teria que aguardar._x000D_
_x000D_
Resumo: A ouvidoria me mandou em pleno auge da pandemia, ir até uma loja credenciada para pegar um chip e resolver um problema que eles mesmos criaram._x000D_
Não posso ficar sem meu número, pois utilizo ele para trabalho e a validação de chaves de acesso para alguns sistemas principalmente sistema de banco._x000D_
",,,,,,,
Demora na portabilidade,"Possuía o plano familiar (meu e minha esposa) em outra operadora, e me foi oferecido um valor melhor na Claro por conta de todo o pacote que já tenho com eles. A portabilidade estava agendada para o dia 03/03, realizamos as trocas dos chips e no meu celular foi feita a portabilidade e no celular da minha esposa não! Entrei em contato para resolver no mesmo dia, e me informaram primeiro que iria ocorrer em 2 horas, e depois somente no dia 24, e logo em seguida no dia 9, o que não fazia sentido nenhum pois ficaria pagando dois planos todo esse tempo. Ficaram de entrar em contato e obviamente não entraram. Minha esposa já ligou hoje novamente e estão mantendo a data de amanhã, o que caso ocorra, são 6 dias pagando 2 contas erroneamente. Gostaria de uma posição mais clara sobre o que vão fazer para nos reembolsar desse valor e resolver o problema o mais rápido possível.",,,,,,,
Chip não entregue,"No dia 24/02/21 houve um insucesso na portabilidade da linha 31999278068 para a Claro. Por tal motivo reabri o pedido na semana retrasada e fiz novamente o pedido, foi dado o prazo de 5 dias. Hoje, dia 08/03/21 estava marcada a entrega de um chip novo até as 12pm que tambem nao foi realizada. Entrei em contato com o atendimento telefonico e me disseram que a portabilidade ja havia sido feita, porem ainda realizo chamadas atraves do chip da operadora antiga e nao tenho outro chip da Claro. Liguei para a ouvidoria da claro e NENHUM protocolo é aceito. Estou a mais de uma semana sem poder usar minha linha tanto na operadora antiga quanto na Claro e me sinto lesada porque ninguem pode me contactar. Quero uma solução imediata ou entrarei com um processo por danos morais contra a operadora.",,,,,,,
,"Descrição do problema: Consumidor (a) reclama que foi feito a portabilidade indevidamente para a CLARO sem a solicitação da consumidora. Reclama que foi feito a instalação do serviço de banda larga indevidamente, também sem a solicitação da consumidora. _x000D_
O que o consumidor solicita como providências: Cancelamento da portabilidade e do serviço de banda larga  com isenção de multa, visto que a os procedimentos foram indevidos, e retorno da linha a prestadora de origem. _x000D_
Serviço Reclamado: Telefonia  móvel _x000D_
Telefone associado ao problema: (31) 987064307_x000D_
Protocolo da prestadora reclamada: Ciente da necessidade._x000D_
",,,,,,,
,"Consumidor(a) reclama que foi solicitado a portabilidade para oi, entrou em contato com a claro mas nada foi resolvido, solicita providencias, o cancelamento da portabilidade e o estorno do saldo de R$100,00 e dos valores vencidos. _x000D_
_x000D_
_x000D_
Protocolo da prestadora reclamada:2021210436926_x000D_
O que o consumidor solicita como providências: solução da demanda_x000D_
Telefone associado ao problema(quando for linha telefônica):19994777777_x000D_
serviço reclamado: pré-pago_x000D_
_x000D_
",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que, solicitou portabilidade da prestadora tim para a claro em 06/03/2021, devido a valor de plano, porém recebeu contraproposta da tim, mais atrativa, e ao entrar em contato com a claro para realizar cancelamento de andamento de portabilidade, não consegue, pois tem a ligação interrompida por atendente._x000D_
O que o(a) consumidor(a) solicita como providências: Cancelamento do andamento da portabilidade para continuar na tim, uma vez que o prazo para conclusão é 22/03/2021, e isenção de qualquer valor venha a ser cobrada._x000D_
Serviço Reclamado: Telefone Móvel (SMP)_x000D_
Telefone associado ao problema(quando for linha telefônica): 71 99271-6868_x000D_
",,,,,,,
,"Dia 03/02/2021, foi solicitado a portabilidade do numero 21 2029-8614, para Av. Marechal Fontenele nº 4830 - Magalhães Bastos. Pedido concluído e deram 3 dias uteis para troca. sendo que o protocolo foi indevido indo para o meu outro endereço na Rua Metalúrgico Jorge Alves da silva, nº 24 - Magalhães Bastos. Tomando ciência do erro, liguei 3 vezes para a operadora e todas as ligações foi reconhecido o erro e sempre pediam para aguardar, em até 5 dias corridos que eu iria receber uma ligação para confirmação de dados e a troca seria efetuada e infelizmente não resolvido.",,,,,,,
Demora na portabilidade,A portabilidade foi solicitada a vários meses e nunca é realizada ,,,,,,,
,"Descrição do problema: Consumidor(a) informa que está efetuando a solicitação de portabilidade para a prestadora CLARO, porém o procedimento não é efetuando. _x000D_
O que o consumidor solicita como providências: A conclusão da portabilidade._x000D_
Serviço Reclamado: Telefone fixo._x000D_
Telefone associado ao problema(quando for linha telefônica):21 25927576_x000D_
Protocolo da prestadora reclamada: Cliente ciente da importância do protocolo.",,,,,,,
Cobrança indevida,"Descrição do problema: Consumidor (a) Francisco reclama que após solicitar portabilidade para operadora o mesmo esta sendo cobrado por dois serviços, consumdior entrou em contato com sua operadora de origem a Tim que informou que não houve conclusão da portabilidade para claro que ocultou a informação do consumdior._x000D_
_x000D_
O que o consumidor solicita como providências: conclusão da portabilidade com cancelamento da fatura cobrada pois a portabilidade não foi concluída. _x000D_
_x000D_
Serviço Reclamado: pós pago_x000D_
Telefone associado ao problema: (11) 970129952_x000D_
Protocolo da prestadora reclamada",,,,,,,
